file_name,apparent_age_avg
007099.jpg,46
006294.jpg,29
006353.jpg,51
006370.jpg,33
006768.jpg,7
005903.jpg,39
007239.jpg,37
006824.jpg,25
006800.jpg,16
006980.jpg,20
007537.jpg,7
007204.jpg,79
007096.jpg,25
007378.jpg,59
007434.jpg,64
006702.jpg,4
006832.jpg,33
007339.jpg,28
007146.jpg,38
006412.jpg,51
006616.jpg,38
006020.jpg,27
007030.jpg,1
005866.jpg,23
006415.jpg,32
006716.jpg,25
006445.jpg,52
007241.jpg,78
006533.jpg,37
007603.jpg,34
006395.jpg,58
006982.jpg,5
005947.jpg,36
005844.jpg,39
006804.jpg,8
007187.jpg,22
006920.jpg,29
007221.jpg,33
007074.jpg,20
006799.jpg,4
005839.jpg,34
006253.jpg,28
005811.jpg,29
006682.jpg,1
006122.jpg,59
006843.jpg,49
007446.jpg,31
007594.jpg,7
007519.jpg,16
007406.jpg,29
007395.jpg,31
007588.jpg,28
006995.jpg,39
006640.jpg,36
006019.jpg,38
007538.jpg,62
006986.jpg,27
006472.jpg,36
006632.jpg,28
006073.jpg,41
007022.jpg,44
006005.jpg,38
005863.jpg,27
007285.jpg,32
006923.jpg,31
006481.jpg,49
006323.jpg,35
007028.jpg,21
007365.jpg,70
005931.jpg,25
007143.jpg,25
007524.jpg,32
006179.jpg,59
006609.jpg,21
006138.jpg,49
006220.jpg,30
006348.jpg,35
006272.jpg,33
007570.jpg,44
007280.jpg,31
006597.jpg,35
006912.jpg,4
006265.jpg,31
006564.jpg,18
006884.jpg,21
005855.jpg,23
007490.jpg,36
006534.jpg,7
006391.jpg,49
006889.jpg,22
007432.jpg,46
006033.jpg,35
005962.jpg,27
007274.jpg,10
005836.jpg,38
007579.jpg,18
007374.jpg,42
007282.jpg,21
007189.jpg,37
007487.jpg,25
006951.jpg,12
006418.jpg,39
006439.jpg,35
006433.jpg,30
005915.jpg,30
007486.jpg,2
006714.jpg,44
007234.jpg,54
006713.jpg,34
007561.jpg,22
006087.jpg,41
007531.jpg,33
006354.jpg,42
006794.jpg,26
006456.jpg,37
007564.jpg,2
006894.jpg,3
006981.jpg,8
007478.jpg,19
006030.jpg,23
005901.jpg,27
006278.jpg,25
006615.jpg,31
007114.jpg,29
006667.jpg,33
005878.jpg,29
006364.jpg,51
007577.jpg,5
007127.jpg,26
006977.jpg,24
007584.jpg,48
006275.jpg,23
006897.jpg,27
006522.jpg,37
007499.jpg,19
007313.jpg,50
007397.jpg,25
006076.jpg,26
007308.jpg,20
006469.jpg,53
006562.jpg,59
006083.jpg,32
007055.jpg,30
006724.jpg,32
006401.jpg,33
007314.jpg,28
007115.jpg,40
005838.jpg,38
006224.jpg,48
006877.jpg,1
007015.jpg,26
007238.jpg,39
007108.jpg,30
005995.jpg,30
006579.jpg,30
006125.jpg,34
006139.jpg,49
006711.jpg,38
006016.jpg,31
006536.jpg,56
005969.jpg,21
005921.jpg,28
007536.jpg,3
007437.jpg,49
006478.jpg,36
005965.jpg,22
006518.jpg,26
006649.jpg,33
007413.jpg,25
007342.jpg,39
006239.jpg,26
006416.jpg,59
006785.jpg,4
006984.jpg,26
006838.jpg,43
006633.jpg,30
006513.jpg,35
006340.jpg,46
006854.jpg,31
007112.jpg,25
006906.jpg,28
006393.jpg,26
005966.jpg,24
006837.jpg,11
006080.jpg,38
006568.jpg,29
007515.jpg,33
006345.jpg,24
007411.jpg,25
007527.jpg,6
007224.jpg,29
006809.jpg,11
006420.jpg,26
007253.jpg,1
007090.jpg,26
006621.jpg,43
006406.jpg,40
006483.jpg,30
006182.jpg,33
006111.jpg,28
