file_name,apparent_age_avg
005678.jpg,34
006413.jpg,66
006524.jpg,17
006124.jpg,51
005709.jpg,54
005823.jpg,11
005790.jpg,26
006135.jpg,15
006305.jpg,63
005890.jpg,41
005750.jpg,47
005973.jpg,42
005636.jpg,27
005689.jpg,26
005844.jpg,39
005735.jpg,22
006360.jpg,64
005707.jpg,23
006928.jpg,79
005892.jpg,69
006066.jpg,41
005722.jpg,24
006248.jpg,19
005856.jpg,40
006103.jpg,9
006230.jpg,10
006528.jpg,15
005806.jpg,89
005981.jpg,13
005662.jpg,45
006342.jpg,42
006780.jpg,4
006008.jpg,19
006139.jpg,49
005939.jpg,26
005801.jpg,20
005866.jpg,23
006430.jpg,11
006414.jpg,45
005820.jpg,30
005932.jpg,60
006237.jpg,3
006470.jpg,52
006065.jpg,17
005883.jpg,68
006605.jpg,69
006595.jpg,9
006437.jpg,51
006104.jpg,8
006408.jpg,45
005906.jpg,34
006183.jpg,14
006027.jpg,44
005702.jpg,30
005819.jpg,35
005899.jpg,24
006369.jpg,41
005941.jpg,58
005808.jpg,78
006558.jpg,9
006009.jpg,55
006219.jpg,18
006736.jpg,5
006947.jpg,12
006210.jpg,40
005641.jpg,23
005788.jpg,26
005867.jpg,65
005775.jpg,53
006444.jpg,52
007445.jpg,85
006545.jpg,18
006997.jpg,67
006247.jpg,46
006564.jpg,18
006682.jpg,1
005738.jpg,36
005622.jpg,57
005870.jpg,37
005799.jpg,31
006876.jpg,16
007152.jpg,69
005774.jpg,36
005777.jpg,35
006277.jpg,50
006661.jpg,5
006831.jpg,16
006902.jpg,6
006879.jpg,66
006050.jpg,62
005933.jpg,87
007455.jpg,70
005673.jpg,66
005647.jpg,31
005733.jpg,43
007296.jpg,62
005927.jpg,54
006266.jpg,1
005654.jpg,30
007414.jpg,65
005964.jpg,56
006795.jpg,3
006580.jpg,78
006932.jpg,64
005653.jpg,34
005928.jpg,29
005634.jpg,23
005751.jpg,27
005993.jpg,53
006417.jpg,1
005843.jpg,40
005903.jpg,39
005946.jpg,40
007104.jpg,62
006059.jpg,41
006100.jpg,81
005900.jpg,13
005639.jpg,55
006721.jpg,7
006773.jpg,12
005760.jpg,32
005617.jpg,25
005756.jpg,31
005765.jpg,30
005971.jpg,1
005849.jpg,56
005811.jpg,29
005724.jpg,43
006199.jpg,74
006028.jpg,50
005895.jpg,53
005893.jpg,27
005846.jpg,26
006073.jpg,41
005930.jpg,28
006157.jpg,43
005859.jpg,29
006159.jpg,12
006022.jpg,49
005694.jpg,16
005797.jpg,34
005712.jpg,10
006785.jpg,4
006273.jpg,76
005818.jpg,27
007210.jpg,69
006340.jpg,46
006235.jpg,17
006211.jpg,5
006665.jpg,9
005817.jpg,22
006339.jpg,60
006409.jpg,49
005878.jpg,29
006385.jpg,42
005723.jpg,28
005887.jpg,25
005807.jpg,38
005998.jpg,46
006136.jpg,45
006384.jpg,52
006669.jpg,62
005631.jpg,42
005888.jpg,40
005864.jpg,41
005814.jpg,39
006908.jpg,67
006320.jpg,18
006106.jpg,50
005957.jpg,27
005896.jpg,23
006727.jpg,80
005704.jpg,27
006593.jpg,14
006164.jpg,52
006852.jpg,15
005830.jpg,43
005853.jpg,46
005755.jpg,24
005795.jpg,58
005988.jpg,6
006269.jpg,3
005840.jpg,14
006844.jpg,61
005616.jpg,24
006221.jpg,56
005769.jpg,85
005714.jpg,55
005681.jpg,44
006707.jpg,11
006117.jpg,17
005778.jpg,50
006329.jpg,53
005936.jpg,4
006739.jpg,64
005767.jpg,42
005730.jpg,29
005825.jpg,39
005667.jpg,72
005910.jpg,35
006252.jpg,95
006743.jpg,17
007169.jpg,61
005660.jpg,26
006351.jpg,40
007165.jpg,63
006734.jpg,3
005643.jpg,54
006833.jpg,8
006232.jpg,18
005747.jpg,31
005828.jpg,40
005679.jpg,27
006017.jpg,42
006501.jpg,65
006108.jpg,42
006000.jpg,57
005879.jpg,36
006936.jpg,5
005873.jpg,41
005794.jpg,47
005716.jpg,27
005637.jpg,43
006132.jpg,40
006398.jpg,12
006962.jpg,1
005708.jpg,30
005705.jpg,46
006178.jpg,15
006391.jpg,49
006570.jpg,9
006944.jpg,5
005950.jpg,61
005692.jpg,64
006292.jpg,49
006170.jpg,55
005715.jpg,43
005626.jpg,26
005826.jpg,28
005886.jpg,46
006395.jpg,58
006778.jpg,19
006951.jpg,12
005763.jpg,29
007424.jpg,63
006552.jpg,10
006207.jpg,18
006322.jpg,19
005838.jpg,38
006783.jpg,68
005815.jpg,39
006746.jpg,81
005717.jpg,27
005711.jpg,35
005994.jpg,13
006642.jpg,7
006353.jpg,51
006374.jpg,16
005619.jpg,26
005787.jpg,38
005934.jpg,27
006176.jpg,56
005789.jpg,65
007447.jpg,70
006471.jpg,44
006760.jpg,62
006894.jpg,3
006823.jpg,2
007434.jpg,64
005657.jpg,39
006177.jpg,17
005909.jpg,56
005884.jpg,21
006155.jpg,16
006255.jpg,50
007204.jpg,79
005652.jpg,51
005659.jpg,38
006387.jpg,54
006705.jpg,80
005956.jpg,74
005959.jpg,33
006338.jpg,60
006291.jpg,86
006154.jpg,41
005872.jpg,43
005672.jpg,25
005891.jpg,29
006386.jpg,55
006700.jpg,62
005703.jpg,83
005901.jpg,27
005773.jpg,18
005912.jpg,32
005918.jpg,24
006084.jpg,51
005882.jpg,60
005916.jpg,49
005836.jpg,38
006758.jpg,19
006493.jpg,5
005908.jpg,37
006710.jpg,15
005736.jpg,38
005625.jpg,30
007360.jpg,73
005621.jpg,18
006174.jpg,11
007141.jpg,67
006197.jpg,58
006745.jpg,71
005615.jpg,55
005638.jpg,29
005644.jpg,63
005666.jpg,46
005875.jpg,46
006169.jpg,69
005889.jpg,4
005618.jpg,35
