file_name,apparent_age_avg
005770.jpg,31
005668.jpg,45
005648.jpg,40
006192.jpg,19
005948.jpg,46
006760.jpg,62
005919.jpg,51
005956.jpg,74
005902.jpg,71
006745.jpg,71
006090.jpg,62
005752.jpg,36
005649.jpg,27
006438.jpg,5
006025.jpg,45
005881.jpg,50
007445.jpg,85
005661.jpg,19
005717.jpg,27
005779.jpg,68
006219.jpg,18
005952.jpg,40
005743.jpg,41
006117.jpg,17
006475.jpg,8
007110.jpg,81
006531.jpg,72
005981.jpg,13
005809.jpg,86
005872.jpg,43
006050.jpg,62
006305.jpg,63
005723.jpg,28
005686.jpg,25
005706.jpg,27
005861.jpg,53
006135.jpg,15
007198.jpg,80
006053.jpg,62
005757.jpg,28
005833.jpg,15
005900.jpg,13
005730.jpg,29
005772.jpg,64
006051.jpg,7
005681.jpg,44
005677.jpg,71
005996.jpg,19
006360.jpg,64
006374.jpg,16
006043.jpg,19
006725.jpg,79
006022.jpg,49
006403.jpg,69
005773.jpg,18
005714.jpg,55
005651.jpg,24
006228.jpg,60
006215.jpg,66
005671.jpg,15
005724.jpg,43
005940.jpg,77
006480.jpg,16
006015.jpg,54
005669.jpg,37
005725.jpg,7
005715.jpg,43
005663.jpg,50
005733.jpg,43
006159.jpg,12
005737.jpg,27
005660.jpg,26
005760.jpg,32
005718.jpg,42
005971.jpg,1
006683.jpg,78
005775.jpg,53
005763.jpg,29
005828.jpg,40
005768.jpg,33
006269.jpg,3
007416.jpg,85
007254.jpg,81
005680.jpg,31
005993.jpg,53
006091.jpg,62
006001.jpg,46
006169.jpg,69
005732.jpg,77
005782.jpg,61
006079.jpg,76
005690.jpg,26
006232.jpg,18
006018.jpg,47
005877.jpg,55
005774.jpg,36
005873.jpg,41
005758.jpg,10
005646.jpg,16
005926.jpg,53
005644.jpg,63
006320.jpg,18
006207.jpg,18
005804.jpg,19
005749.jpg,37
005627.jpg,33
006479.jpg,13
005641.jpg,23
005655.jpg,36
005664.jpg,22
006199.jpg,74
006002.jpg,46
005973.jpg,42
006291.jpg,86
005640.jpg,35
006756.jpg,70
005843.jpg,40
005950.jpg,61
006477.jpg,63
006103.jpg,9
005829.jpg,46
005840.jpg,14
006322.jpg,19
006684.jpg,64
006309.jpg,73
005827.jpg,45
005980.jpg,45
005703.jpg,83
006000.jpg,57
006749.jpg,61
005868.jpg,41
005698.jpg,46
005988.jpg,6
005786.jpg,41
006502.jpg,8
005705.jpg,46
005626.jpg,26
005834.jpg,62
007071.jpg,83
005842.jpg,49
005616.jpg,24
005875.jpg,46
006171.jpg,12
006705.jpg,80
006783.jpg,68
005697.jpg,37
005765.jpg,30
005716.jpg,27
006377.jpg,2
005707.jpg,23
006413.jpg,66
005776.jpg,84
005933.jpg,87
006605.jpg,69
006258.jpg,74
005889.jpg,4
006501.jpg,65
005798.jpg,42
005914.jpg,18
005652.jpg,51
006155.jpg,16
006121.jpg,81
006336.jpg,78
006405.jpg,19
005848.jpg,41
005672.jpg,25
006644.jpg,69
005621.jpg,18
006770.jpg,66
005676.jpg,33
005636.jpg,27
006669.jpg,62
005882.jpg,60
005694.jpg,16
005746.jpg,72
005759.jpg,43
005736.jpg,38
007526.jpg,80
005856.jpg,40
005709.jpg,54
006731.jpg,63
005991.jpg,40
006407.jpg,8
005720.jpg,25
006101.jpg,61
005941.jpg,58
005635.jpg,32
005667.jpg,72
006104.jpg,8
005688.jpg,6
006355.jpg,71
006290.jpg,9
006211.jpg,5
006167.jpg,14
005666.jpg,46
006419.jpg,6
005946.jpg,40
005624.jpg,30
005777.jpg,35
005888.jpg,40
005756.jpg,31
005780.jpg,38
